time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,1278,8,153,,,,,,,,
2,2556,12,201,-3.2958121299743652,-2.49249529838562,0.00029787,0.000283205445157364,1,0.08298523724079132,,
3,3834,17,222,-3.278681755065918,-0.21325469017028809,0.00029574,-0.005791790783405304,2,0.5404495000839233,,
4,5112,21,240,-3.268422842025757,-0.36654889583587646,0.00029361,0.005278412718325853,3,0.10511699318885803,,
5,6390,25,251,-3.2662477493286133,-0.25639772415161133,0.00029148,-0.01565185748040676,4,0.09730224311351776,,
6,7668,30,254,-3.2154393196105957,-1.963437795639038,0.00028934999999999996,0.025893574580550194,5,0.054985690861940384,,
7,8946,34,259,-3.2227489948272705,-0.3606497049331665,0.00028722,0.00036933610681444407,6,0.06067391857504845,,
8,10224,38,264,-3.2293622493743896,0.43136268854141235,0.00028509,0.0031655330676585436,7,0.018987393006682396,,
9,11502,43,267,-3.2073850631713867,-1.9582774639129639,0.00028296,0.013489742763340473,8,0.015251006931066513,,
10,12780,47,269,-3.2325425148010254,-2.390251636505127,0.00028083,-0.007888427935540676,9,0.014811391942203045,,
11,14058,51,271,-3.215355634689331,-0.23450100421905518,0.0002787,0.03895408660173416,10,0.03157946094870567,,
12,15336,56,271,-3.255523443222046,-0.5406817197799683,0.00027657,-0.019375918433070183,11,0.015800368040800095,,
13,16614,60,275,-3.2354326248168945,0.6367717087268829,0.00027444,-0.001610484323464334,12,0.013391886837780476,,
14,17892,65,275,-3.2254445552825928,-0.5741691589355469,0.00027231,-0.01249650027602911,13,0.007795320358127356,,
15,19170,69,276,-3.2052950859069824,-0.37936484813690186,0.00027017999999999996,-0.004426708444952965,14,0.006229826249182224,,
16,20448,74,275,-3.188426971435547,-0.4804166555404663,0.00026805,-0.006090955343097448,15,0.012216475792229176,,
17,21726,78,275,-3.1997299194335938,-0.784060001373291,0.00026592,-0.00512773497030139,16,0.008215398527681828,,
18,23004,83,276,-3.187499761581421,-1.139516830444336,0.00026379,-0.011386745609343052,17,0.0055632577277719975,,
19,24282,87,278,-3.1798415184020996,-2.2354204654693604,0.00026166,0.006103473715484142,18,0.0036396831274032593,,
20,25560,91,280,-3.1857025623321533,-2.6401355266571045,0.00025953,-0.017511453479528427,19,0.004265802446752787,,
21,26838,95,280,-3.1506571769714355,-5.027705669403076,0.0002574,0.02476624958217144,20,0.004193388856947422,,
22,28116,99,282,-3.204725742340088,-5.565353870391846,0.00025527,0.0006344575667753816,21,0.0038157638628035784,,
23,29394,103,283,-3.205115556716919,-1.7742371559143066,0.00025314,-0.010939786210656166,22,0.0035058679059147835,,
24,30672,107,284,-3.2121126651763916,-4.498898983001709,0.00025100999999999997,-0.007912686094641685,23,0.004807627759873867,,
25,31950,111,285,-3.193204641342163,-4.391375541687012,0.00024888,0.001170000177808106,24,0.003852712456136942,,
26,33228,116,286,-3.2037932872772217,-7.381843566894531,0.00024675,-0.0019064560765400529,25,0.0035321107134222984,,
27,34506,120,286,-3.211398124694824,-4.279890537261963,0.00024462,0.011004844680428505,26,0.003167911199852824,,
28,35784,124,287,-3.21476149559021,-2.975848436355591,0.00024249,-0.004175102338194847,27,0.0035708786454051733,,
29,37062,128,289,-3.2051522731781006,-1.6346418857574463,0.00024036,0.004084543790668249,28,0.003470540978014469,,
30,38340,131,290,-3.2014317512512207,-6.942368030548096,0.00023822999999999997,0.010467985644936562,29,0.0032351054251194,,
31,39618,135,291,-3.2262766361236572,-5.281251907348633,0.0002361,0.0051123956218361855,30,0.003004485508427024,,
32,40896,139,292,-3.2307889461517334,-4.384248733520508,0.00023397,0.0034982101060450077,31,0.003084648633375764,,
33,42174,143,294,-3.222790002822876,-2.324044942855835,0.00023183999999999998,-0.0023790441919118166,32,0.0031559066846966743,,
34,43452,147,295,-3.2249348163604736,-7.0681915283203125,0.00022971,-0.013819346204400063,33,0.0029803544748574495,,
35,44730,150,296,-3.212883710861206,-12.288787841796875,0.00022758,0.008638555184006691,34,0.00260982196778059,,
36,46008,154,297,-3.217951774597168,-6.1575398445129395,0.00022544999999999998,-0.02131742425262928,35,0.002629171824082732,,
37,47286,158,298,-3.2015326023101807,-8.46235466003418,0.00022332,0.008390151895582676,36,0.0027925611939281225,,
38,48564,162,299,-3.2129876613616943,-5.200561046600342,0.00022119,0.03249318525195122,37,0.0025862916372716427,,
39,49842,166,300,-3.2384188175201416,-4.378020286560059,0.00021905999999999998,-0.006627248600125313,38,0.002921800361946225,,
40,51120,169,300,-3.2265264987945557,-2.581988573074341,0.00021693,0.011046360246837139,39,0.0031634571496397257,,
41,52398,173,301,-3.246842622756958,-0.38035857677459717,0.00021480000000000002,0.004672484938055277,40,0.007358350325375795,,
42,53676,177,302,-3.2430288791656494,-0.4754297733306885,0.00021266999999999998,-0.027703115716576576,41,0.004937075078487396,,
43,54954,181,303,-3.228396415710449,-3.322110652923584,0.00021054,0.005881490185856819,42,0.0029583745636045933,,
44,56232,185,303,-3.2302181720733643,-3.284925937652588,0.00020840999999999996,0.014041916467249393,43,0.0026163230650126934,,
45,57510,188,304,-3.242516040802002,-1.8446643352508545,0.00020627999999999998,0.02115386351943016,44,0.0024437422398477793,,
46,58788,192,304,-3.2512645721435547,-3.857635974884033,0.00020415,-0.0012395676458254457,45,0.0021625240333378315,,
47,60066,196,305,-3.2559826374053955,-4.325875759124756,0.00020202,0.00065088045084849,46,0.002036213641986251,,
48,61344,200,305,-3.24255108833313,-3.2503418922424316,0.00019988999999999999,0.0006776549853384495,47,0.0023621870204806328,,
49,62622,205,304,-3.244311809539795,-3.386669635772705,0.00019776,0.01172436773777008,48,0.002286004601046443,,
50,63900,209,305,-3.2474894523620605,-2.9724342823028564,0.00019563,0.015104182995855808,49,0.0025289335753768682,,
51,65178,212,306,-3.254239320755005,-7.853946685791016,0.0001935,0.011024897918105125,50,0.001972160767763853,,
52,66456,216,306,-3.266122341156006,-6.600574016571045,0.00019137,-0.008684146218001842,51,0.00217044772580266,,
53,67734,220,306,-3.253986120223999,-5.202132701873779,0.00018924000000000002,-0.005312541965395212,52,0.0024943146854639053,,
54,69012,224,307,-3.2562673091888428,-8.851387977600098,0.00018711,-0.004798686131834984,53,0.0023796120658516884,,
55,70290,228,308,-3.255347728729248,-10.278688430786133,0.00018498,-0.003912962973117828,54,0.002164343371987343,,
56,71568,231,308,-3.2548651695251465,-4.358688831329346,0.00018285,-0.01052513625472784,55,0.0019610957242548466,,
57,72846,235,309,-3.2576534748077393,-5.940960884094238,0.00018072,-0.0034073067363351583,56,0.0021958688739687204,,
58,74124,239,309,-3.2563705444335938,-0.2846618890762329,0.00017859,-0.009368645958602428,57,0.00819610059261322,,
59,75402,243,310,-3.2530434131622314,-1.5242185592651367,0.00017645999999999997,0.015076769515872002,58,0.0026343557983636856,,
60,76680,246,310,-3.254770517349243,-3.5102858543395996,0.00017433,0.0033866153098642826,59,0.002922738203778863,,
61,77958,250,311,-3.2542221546173096,-4.2174906730651855,0.0001722,0.00217880099080503,60,0.002467351034283638,,
62,79236,254,311,-3.260503053665161,-4.728209495544434,0.00017007,0.006379371974617243,61,0.0021667107939720154,,
63,80514,257,312,-3.252817392349243,-6.912045001983643,0.00016794,-0.008086232468485832,62,0.0020867199636995792,,
64,81792,261,312,-3.2531299591064453,-6.259953498840332,0.00016580999999999999,-0.00803548377007246,63,0.0022723099682480097,,
65,83070,265,312,-3.250783920288086,-7.266057968139648,0.00016368,0.010283038951456547,64,0.0021141713950783014,,
66,84348,269,313,-3.257016897201538,-7.447725296020508,0.00016155,-0.009112177416682243,65,0.0022533347364515066,,
67,85626,272,313,-3.255035161972046,-7.134395599365234,0.00015942000000000002,-0.0004096829507034272,66,0.0021369922906160355,,
68,86904,276,314,-3.254173994064331,-7.903276443481445,0.00015728999999999998,0.001700119231827557,67,0.0022981041111052036,,
69,88182,280,314,-3.2551372051239014,-9.668326377868652,0.00015516,-0.016630301252007484,68,0.0018381469417363405,,
70,89460,284,314,-3.247924566268921,-8.876198768615723,0.00015303,0.006377049721777439,69,0.0020448779687285423,,
71,90738,287,315,-3.2529823780059814,-7.366525650024414,0.00015089999999999998,-0.0014301114715635777,70,0.002018918516114354,,
72,92016,291,315,-3.2554283142089844,-11.713708877563477,0.00014877,-0.008472466841340065,71,0.0018907218473032117,,
73,93294,295,315,-3.249645709991455,-10.956819534301758,0.00014664,-0.009252186864614487,72,0.0018340627430006862,,
74,94572,299,316,-3.242487668991089,-19.074726104736328,0.00014451,0.02392764948308468,73,0.0019704275764524937,,
75,95850,302,316,-3.2543697357177734,-11.980827331542969,0.00014238,-0.01130259595811367,74,0.0015731093008071184,,
76,97128,306,316,-3.2522571086883545,-6.150610446929932,0.00014025000000000002,-0.006182242184877396,75,0.0019245194271206856,,
77,98406,310,317,-3.245896100997925,-8.201546669006348,0.00013811999999999999,-0.007539423648267984,76,0.002033790573477745,,
78,99684,313,317,-3.246338129043579,-8.263408660888672,0.00013599,-0.001665255636908114,77,0.002096777316182852,,
